State,Year,Pop_Est,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Median AQI,Yes,No,Pollution_Index,Access_Index,Adjusted_Pollution,Env_Health_Burden,Health_Access_Category
Alabama,1980,3900368.0,777.0,392.0,167.0,38.0,8.0,0.0,314.0,,,0.0332850940665701,0.8297666666666667,0.008994741919922796,0.073,Moderate Access
Alabama,1981,3918533.0,1491.0,519.0,182.0,64.0,14.0,0.0,354.0,,,0.0343612334801762,0.8297666666666667,0.009285550660792953,0.074,Moderate Access
Alabama,1982,3925263.0,1399.0,446.0,148.0,32.0,5.0,0.0,325.0,,,0.0182266009852216,0.8297666666666667,0.0049254351395730525,0.071,Moderate Access
Alabama,1983,3934100.0,860.0,330.0,135.0,40.0,9.0,0.0,252.0,,,0.0356622998544395,0.8297666666666667,0.009637142163998039,0.074,Moderate Access
Alabama,1984,3951824.0,729.0,298.0,104.0,27.0,1.0,0.0,180.0,,,0.0241587575496117,0.8297666666666667,0.006528501581823404,0.072,Moderate Access
Alabama,1985,3972520.0,736.0,328.0,70.0,10.0,1.0,0.0,177.0,,,0.0096069868995633,0.8297666666666667,0.0025961280931586566,0.07,Moderate Access
Alabama,1986,3991569.0,911.0,445.0,183.0,67.0,6.0,0.0,285.0,,,0.0452853598014888,0.8297666666666667,0.012237613730355663,0.075,Moderate Access
Alabama,1987,4015262.0,915.0,465.0,171.0,55.0,8.0,0.0,324.0,,,0.0390334572490706,0.8297666666666667,0.010548141263940516,0.074,Moderate Access
Alabama,1988,4023842.0,964.0,391.0,160.0,72.0,13.0,0.0,260.0,,,0.053125,0.8297666666666667,0.014356145833333339,0.077,Moderate Access
Alabama,1989,4030219.0,1452.0,353.0,49.0,4.0,0.0,0.0,370.0,,,0.0021528525296017,0.8297666666666667,0.0005817725152493663,0.068,Moderate Access
Alabama,1990,4050055.0,2336.0,646.0,185.0,48.0,4.0,0.0,679.0,,,0.0161540851196023,0.8297666666666667,0.004365372268820529,0.071,Moderate Access
Alabama,1991,4099156.0,2636.0,489.0,70.0,11.0,0.0,0.0,648.0,,,0.003431066749844,0.8297666666666667,0.0009271886046995105,0.069,Moderate Access
Alabama,1992,4154014.0,2754.0,524.0,94.0,21.0,0.0,0.0,668.0,,,0.0061892130857648,0.8297666666666667,0.0016725316828765083,0.069,Moderate Access
Alabama,1993,4214202.0,3169.0,802.0,169.0,32.0,4.0,0.0,745.0,,,0.0086206896551724,0.8297666666666667,0.0023295977011494225,0.069,Moderate Access
Alabama,1994,4260229.0,3991.0,711.0,123.0,16.0,0.0,0.0,734.0,,,0.0033051022516009,0.8297666666666667,0.0008931487984576169,0.069,Moderate Access
Alabama,1995,4296800.0,3466.0,768.0,212.0,60.0,9.0,0.0,775.0,83.5,16.5,0.015282392026578,0.8297666666666667,0.00412981173864893,0.071,Moderate Access
Alabama,1995,4296800.0,3466.0,768.0,212.0,60.0,9.0,0.0,775.0,85.7,14.3,0.015282392026578,0.8297666666666667,0.00412981173864893,0.071,Moderate Access
Alabama,1996,4331102.0,3151.0,757.0,152.0,46.0,4.0,0.0,761.0,81.2,18.8,0.0121654501216545,0.8297666666666667,0.0032875101378751024,0.07,Moderate Access
Alabama,1996,4331102.0,3151.0,757.0,152.0,46.0,4.0,0.0,761.0,84.0,16.0,0.0121654501216545,0.8297666666666667,0.0032875101378751024,0.07,Moderate Access
Alabama,1997,4367935.0,2964.0,699.0,159.0,17.0,1.0,0.0,738.0,85.6,14.4,0.0046875,0.8297666666666667,0.0012667187500000005,0.069,Moderate Access
Alabama,1997,4367935.0,2964.0,699.0,159.0,17.0,1.0,0.0,738.0,82.7,17.3,0.0046875,0.8297666666666667,0.0012667187500000005,0.069,Moderate Access
Alabama,1998,4404701.0,2644.0,778.0,254.0,87.0,14.0,0.0,824.0,83.6,16.4,0.0267407995763833,0.8297666666666667,0.00722625540552465,0.072,Moderate Access
Alabama,1998,4404701.0,2644.0,778.0,254.0,87.0,14.0,0.0,824.0,80.5,19.5,0.0267407995763833,0.8297666666666667,0.00722625540552465,0.072,Moderate Access
Alabama,1999,4430141.0,1664.0,1657.0,420.0,119.0,9.0,0.0,1085.0,82.0,18.0,0.0330834841044197,0.8297666666666667,0.008940260187817687,0.073,Moderate Access
Alabama,1999,4430141.0,1664.0,1657.0,420.0,119.0,9.0,0.0,1085.0,84.9,15.1,0.0330834841044197,0.8297666666666667,0.008940260187817687,0.073,Moderate Access
Alabama,2000,4452173.0,1927.0,1908.0,499.0,83.0,7.0,0.0,1160.0,83.9,16.1,0.0203435804701627,0.8297666666666667,0.005497513562386969,0.071,Moderate Access
Alabama,2000,4452173.0,1927.0,1908.0,499.0,83.0,7.0,0.0,1160.0,80.6,19.4,0.0203435804701627,0.8297666666666667,0.005497513562386969,0.071,Moderate Access
Alabama,2001,4467634.0,2641.0,1671.0,239.0,40.0,8.0,0.0,957.0,85.0,15.0,0.0104370515329419,0.8297666666666667,0.002820439225918667,0.07,Moderate Access
Alabama,2002,4480089.0,3274.0,1648.0,288.0,42.0,2.0,0.0,944.0,84.9,15.1,0.0083745717548534,0.8297666666666667,0.002263088440553218,0.069,Moderate Access
Alabama,2003,4503491.0,3455.0,1943.0,205.0,13.0,0.0,0.0,1042.0,82.7,17.3,0.0023148148148148,0.8297666666666667,0.0006255401234567863,0.068,Moderate Access
Alabama,2003,4503491.0,3455.0,1943.0,205.0,13.0,0.0,0.0,1042.0,85.4,14.6,0.0023148148148148,0.8297666666666667,0.0006255401234567863,0.068,Moderate Access
Alabama,2004,4530729.0,3916.0,1839.0,155.0,9.0,1.0,0.0,1057.0,82.9,17.1,0.0016891891891891,0.8297666666666667,0.0004564752252252013,0.068,Moderate Access
Alabama,2004,4530729.0,3916.0,1839.0,155.0,9.0,1.0,0.0,1057.0,80.3,19.7,0.0016891891891891,0.8297666666666667,0.0004564752252252013,0.068,Moderate Access
Alabama,2005,4569805.0,3437.0,2036.0,206.0,15.0,0.0,0.0,1059.0,83.1,16.9,0.0026343519494204,0.8297666666666667,0.0007118897084650397,0.069,Moderate Access
Alabama,2005,4569805.0,3437.0,2036.0,206.0,15.0,0.0,0.0,1059.0,80.0,20.0,0.0026343519494204,0.8297666666666667,0.0007118897084650397,0.069,Moderate Access
Alabama,2006,4628981.0,3178.0,2167.0,254.0,26.0,1.0,0.0,1054.0,84.0,16.0,0.0047991468183434,0.8297666666666667,0.0012968894418769986,0.069,Moderate Access
Alabama,2006,4628981.0,3178.0,2167.0,254.0,26.0,1.0,0.0,1054.0,80.9,19.1,0.0047991468183434,0.8297666666666667,0.0012968894418769986,0.069,Moderate Access
Alabama,2007,4672840.0,2900.0,2273.0,321.0,45.0,1.0,0.0,997.0,82.5,17.5,0.0083032490974729,0.8297666666666667,0.002243814681107094,0.069,Moderate Access
Alabama,2007,4672840.0,2900.0,2273.0,321.0,45.0,1.0,0.0,997.0,85.3,14.7,0.0083032490974729,0.8297666666666667,0.002243814681107094,0.069,Moderate Access
Alabama,2008,4718206.0,3214.0,1786.0,68.0,6.0,0.0,0.0,842.0,80.7,19.3,0.0011824990145841,0.8297666666666667,0.0003195506503744434,0.068,Moderate Access
Alabama,2008,4718206.0,3214.0,1786.0,68.0,6.0,0.0,0.0,842.0,84.0,16.0,0.0011824990145841,0.8297666666666667,0.0003195506503744434,0.068,Moderate Access
Alabama,2009,4757938.0,3810.0,1347.0,18.0,0.0,0.0,0.0,750.0,84.5,15.5,0.0,0.8297666666666667,0.0,0.068,Moderate Access
Alabama,2009,4757938.0,3810.0,1347.0,18.0,0.0,0.0,0.0,750.0,81.2,18.8,0.0,0.8297666666666667,0.0,0.068,Moderate Access
Alabama,2010,4785514.0,3133.0,2148.0,76.0,6.0,0.0,0.0,877.0,83.8,16.2,0.0011187768040275,0.8297666666666667,0.0003023307850083649,0.068,Moderate Access
Alabama,2010,4785514.0,3133.0,2148.0,76.0,6.0,0.0,0.0,877.0,79.9,20.1,0.0011187768040275,0.8297666666666667,0.0003023307850083649,0.068,Moderate Access
Alabama,2011,4799642.0,3264.0,1376.0,75.0,7.0,0.0,0.0,813.0,,,0.0014824227022448,0.8297666666666667,0.00040060002823661994,0.068,Moderate Access
Alabama,2012,4816632.0,3420.0,997.0,60.0,4.0,0.0,0.0,682.0,,,0.000892657888864,0.8297666666666667,0.00024122591683401503,0.068,Moderate Access
Alabama,2013,4831586.0,3967.0,722.0,3.0,0.0,0.0,0.0,673.0,,,0.0,0.8297666666666667,0.0,0.068,Moderate Access
Alabama,2014,4843737.0,3843.0,829.0,16.0,0.0,0.0,0.0,687.0,,,0.0,0.8297666666666667,0.0,0.068,Moderate Access
Alabama,2015,4854803.0,3923.0,1226.0,19.0,3.0,0.0,0.0,708.0,,,0.0005801585766776,0.8297666666666667,0.00015677818603751015,0.068,Moderate Access
Alabama,2016,4866824.0,3932.0,1035.0,24.0,5.0,0.0,0.0,710.0,,,0.0010008006405124,0.8297666666666667,0.00027044969308780104,0.068,Moderate Access
Alabama,2017,4877989.0,4112.0,1028.0,14.0,1.0,1.0,0.0,692.0,,,0.0003878975950349,0.8297666666666667,0.00010482286009826451,0.068,Moderate Access
Alabama,2018,4891628.0,4008.0,991.0,7.0,2.0,0.0,0.0,625.0,,,0.0003993610223642,0.8297666666666667,0.00010792066027688568,0.068,Moderate Access
Alabama,2019,4907965.0,3893.0,1024.0,17.0,0.0,0.0,0.0,667.0,,,0.0,0.8297666666666667,0.0,0.068,Moderate Access
Alabama,2020,5031362.0,3629.0,705.0,5.0,0.0,0.0,0.0,528.0,,,0.0,0.8297666666666667,0.0,0.068,Moderate Access
Alabama,2021,5049846.0,3704.0,709.0,8.0,2.0,0.0,0.0,532.0,,,0.0004521817770743,0.8297666666666667,0.00012219458889137837,0.068,Moderate Access
Alabama,2022,5074296.0,1815.0,445.0,3.0,0.0,0.0,0.0,559.0,,,0.0,0.8297666666666667,0.0,0.068,Moderate Access
Alabama,2023,,,,,,,,56.409,,,0.874,0.8297666666666667,0.23618393333333343,0.21,Moderate Access
Alabama,2024,,,,,,,,68.624,,,4.92,0.8297666666666667,1.3295480000000004,0.866,Moderate Access
Alabama,2025,,,,,,,,57.597,,,3.083,0.8297666666666667,0.833129366666667,0.568,Moderate Access
Alaska,1980,405315.0,896.0,203.0,45.0,24.0,16.0,0.0,132.0,,,0.0337837837837837,0.8103333333333335,0.00978603603603601,0.082,Moderate Access
Alaska,1981,418493.0,778.0,220.0,39.0,21.0,3.0,0.0,102.0,,,0.0226201696512723,0.8103333333333335,0.006552309142318542,0.08,Moderate Access
Alaska,1982,449606.0,437.0,206.0,55.0,26.0,6.0,0.0,73.0,,,0.0438356164383561,0.8103333333333335,0.01269771689497715,0.083,Moderate Access
